,Mouse,Amplitude,Miniscope,TimeBin,Sleep,Proportion
258,Ca_EEG3-3,0.25mA,Miniscope,9.0,sleep,92.84525790349419
259,Ca_EEG3-3,0.25mA,Miniscope,9.0,wake,7.154742096505824
260,Ca_EEG3-3,0.25mA,Miniscope,10.0,sleep,59.06821963394342
261,Ca_EEG3-3,0.25mA,Miniscope,10.0,wake,40.93178036605657
262,Ca_EEG3-3,0.25mA,Miniscope,11.0,sleep,48.08652246256239
263,Ca_EEG3-3,0.25mA,Miniscope,11.0,wake,51.9134775374376
264,Ca_EEG3-3,0.25mA,Miniscope,12.0,sleep,20.465890183028286
265,Ca_EEG3-3,0.25mA,Miniscope,12.0,wake,79.53410981697171
266,Ca_EEG3-3,0.25mA,Miniscope,13.0,sleep,32.945091514143094
267,Ca_EEG3-3,0.25mA,Miniscope,13.0,wake,67.0549084858569
268,Ca_EEG3-3,0.25mA,Miniscope,14.0,sleep,40.76539101497504
269,Ca_EEG3-3,0.25mA,Miniscope,14.0,wake,59.23460898502496
270,Ca_EEG3-3,0.25mA,Miniscope,15.0,sleep,25.291181364392678
271,Ca_EEG3-3,0.25mA,Miniscope,15.0,wake,74.70881863560732
272,Ca_EEG3-3,0.25mA,Miniscope,16.0,sleep,20.299500831946755
273,Ca_EEG3-3,0.25mA,Miniscope,16.0,wake,79.70049916805324
274,Ca_EEG3-3,0.25mA,Miniscope,17.0,sleep,40.26622296173045
275,Ca_EEG3-3,0.25mA,Miniscope,17.0,wake,59.73377703826955
276,Ca_EEG3-3,0.25mA,Miniscope,18.0,sleep,54.0765391014975
277,Ca_EEG3-3,0.25mA,Miniscope,18.0,wake,45.92346089850249
278,Ca_EEG3-3,0.25mA,Miniscope,19.0,sleep,34.109816971713805
279,Ca_EEG3-3,0.25mA,Miniscope,19.0,wake,65.89018302828619
280,Ca_EEG3-3,0.25mA,Miniscope,20.0,sleep,57.737104825291176
281,Ca_EEG3-3,0.25mA,Miniscope,20.0,wake,42.26289517470882
282,Ca_EEG3-3,0.25mA,Miniscope,21.0,sleep,12.312811980033278
283,Ca_EEG3-3,0.25mA,Miniscope,21.0,wake,87.68718801996673
284,Ca_EEG3-3,0.25mA,Miniscope,22.0,sleep,34.276206322795346
285,Ca_EEG3-3,0.25mA,Miniscope,22.0,wake,65.72379367720465
286,Ca_EEG3-3,0.25mA,Miniscope,23.0,sleep,17.637271214642265
287,Ca_EEG3-3,0.25mA,Miniscope,23.0,wake,82.36272878535775
288,Ca_EEG3-4,0.25mA,Miniscope,0.0,sleep,29.617304492512474
289,Ca_EEG3-4,0.25mA,Miniscope,0.0,wake,70.38269550748753
290,Ca_EEG3-4,0.25mA,Miniscope,1.0,sleep,87.15277777777777
291,Ca_EEG3-4,0.25mA,Miniscope,1.0,wake,12.847222222222221
292,Ca_EEG3-4,0.25mA,Miniscope,2.0,sleep,9.845559845559846
293,Ca_EEG3-4,0.25mA,Miniscope,2.0,wake,90.15444015444015
294,Ca_EEG3-4,0.25mA,Miniscope,3.0,sleep,75.54076539101497
295,Ca_EEG3-4,0.25mA,Miniscope,3.0,wake,24.459234608985025
296,Ca_EEG3-4,0.25mA,Miniscope,4.0,sleep,75.20798668885192
297,Ca_EEG3-4,0.25mA,Miniscope,4.0,wake,24.792013311148086
298,Ca_EEG3-4,0.25mA,Miniscope,5.0,sleep,46.25623960066556
299,Ca_EEG3-4,0.25mA,Miniscope,5.0,wake,53.74376039933444
300,Ca_EEG3-4,0.25mA,Miniscope,6.0,sleep,86.18968386023295
301,Ca_EEG3-4,0.25mA,Miniscope,6.0,wake,13.810316139767053
302,Ca_EEG3-4,0.25mA,Miniscope,7.0,sleep,77.03826955074877
303,Ca_EEG3-4,0.25mA,Miniscope,7.0,wake,22.961730449251245
