,Mouse,Amplitude,Day,TimeBin,SleepState,StateLength
wake,Ca_EEG2-2,1.5mA,PreNeutral,3.0,wake,54.0
sws,Ca_EEG2-2,1.5mA,PreNeutral,3.0,nrem,75.9375
rem,Ca_EEG2-2,1.5mA,PreNeutral,3.0,rem,20.700000000000003
wake,Ca_EEG3-4,0.25mA,PreNeutral,3.0,wake,12.0
sws,Ca_EEG3-4,0.25mA,PreNeutral,3.0,nrem,20.127272727272725
rem,Ca_EEG3-4,0.25mA,PreNeutral,3.0,rem,11.25
rem,Ca_EEG3-4,0.25mA,PostNeutral,3.0,rem,9.882352941176471
rem,Ca_EEG_Pilot2,1.5mA,PostAversive,3.0,rem,11.357142857142858
rem,Ca_EEG2-2,1.5mA,PostNeutral,3.0,rem,17.0
rem,Ca_EEG2-3,1.5mA,PreNeutral,3.0,rem,19.363636363636363
sws,Ca_EEG2-3,1.5mA,PreNeutral,3.0,nrem,63.06976744186046
wake,Ca_EEG2-2,1.5mA,PostNeutral,3.0,wake,52.125
wake,Ca_EEG3-3,0.25mA,PostNeutral,3.0,wake,110.57142857142856
sws,Ca_EEG3-3,0.25mA,PostNeutral,3.0,nrem,69.55555555555556
wake,Ca_EEG2-1,1.5mA,PreNeutral,3.0,wake,820.5
rem,Ca_EEG2-1,1.5mA,PostNeutral,3.0,rem,9.0
sws,Ca_EEG2-1,1.5mA,PostNeutral,3.0,nrem,37.35849056603774
sws,Ca_EEG2-2,1.5mA,PostNeutral,3.0,nrem,94.88888888888889
wake,Ca_EEG_Pilot2,1.5mA,PostNeutral,3.0,wake,186.75
wake,Ca_EEG3-4,0.25mA,PostNeutral,3.0,wake,24.75
wake,Ca_EEG3-2,0.25mA,PostAversive,3.0,wake,50.64
wake,Ca_EEG_Pilot1,1.5mA,PostAversive,3.0,wake,52.92857142857143
wake,Ca_EEG3-2,0.25mA,PostNeutral,3.0,wake,91.875
rem,Ca_EEG3-2,0.25mA,PostNeutral,3.0,rem,33.75
rem,Ca_EEG_Pilot2,1.5mA,PreNeutral,3.0,rem,15.600000000000001
sws,Ca_EEG_Pilot2,1.5mA,PreNeutral,3.0,nrem,81.375
wake,Ca_EEG_Pilot2,1.5mA,PreNeutral,3.0,wake,357.0
rem,Ca_EEG2-3,1.5mA,PostNeutral,3.0,rem,17.142857142857142
sws,Ca_EEG2-3,1.5mA,PostNeutral,3.0,nrem,57.111111111111114
wake,Ca_EEG2-3,1.5mA,PostNeutral,3.0,wake,92.28571428571429
sws,Ca_EEG_Pilot2,1.5mA,PostNeutral,3.0,nrem,110.11764705882352
sws,Ca_EEG3-2,0.25mA,PostAversive,3.0,nrem,53.07692307692308
rem,Ca_EEG3-2,0.25mA,PostAversive,3.0,rem,15.529411764705884
rem,Ca_EEG3-1,0.25mA,PreNeutral,3.0,rem,13.714285714285714
sws,Ca_EEG3-1,0.25mA,PreNeutral,3.0,nrem,24.285714285714285
wake,Ca_EEG3-1,0.25mA,PreNeutral,3.0,wake,31.132075471698116
wake,Ca_EEG2-3,1.5mA,PostAversive,3.0,wake,70.94117647058823
wake,Ca_EEG3-1,0.25mA,PostAversive,3.0,wake,64.18181818181819
sws,Ca_EEG_Pilot1,1.5mA,PostAversive,3.0,nrem,41.86046511627907
rem,Ca_EEG_Pilot1,1.5mA,PostAversive,3.0,rem,16.736842105263158
rem,Ca_EEG3-4,0.25mA,PostAversive,3.0,rem,12.705882352941178
sws,Ca_EEG3-4,0.25mA,PostAversive,3.0,nrem,26.866666666666667
wake,Ca_EEG3-2,0.25mA,PreNeutral,3.0,wake,18.444444444444443
wake,Ca_EEG3-1,0.25mA,PostNeutral,3.0,wake,15.75
sws,Ca_EEG3-1,0.25mA,PostNeutral,3.0,nrem,32.368421052631575
rem,Ca_EEG3-1,0.25mA,PostNeutral,3.0,rem,12.0
