,Mouse,Amplitude,Day,Previous,Next,Transition,Probability
1,Ca_EEG3-4,0.25mA,PreNeutral,nrem,rem,nrem to rem,0.1469315499606609
2,Ca_EEG3-4,0.25mA,PreNeutral,nrem,wake,nrem to wake,0.10680566483084186
3,Ca_EEG3-4,0.25mA,PreNeutral,rem,nrem,rem to nrem,0.5070532915360502
4,Ca_EEG3-4,0.25mA,PreNeutral,rem,rem,rem to rem,0.414576802507837
5,Ca_EEG3-4,0.25mA,PreNeutral,rem,wake,rem to wake,0.07836990595611286
6,Ca_EEG3-4,0.25mA,PreNeutral,wake,nrem,wake to nrem,0.08219353189313562
7,Ca_EEG3-4,0.25mA,PreNeutral,wake,rem,wake to rem,0.0
8,Ca_EEG3-4,0.25mA,PreNeutral,wake,wake,wake to wake,0.9178064681068644
0,Ca_EEG3-4,0.25mA,PostNeutral,nrem,nrem,nrem to nrem,0.7371312309257375
1,Ca_EEG3-4,0.25mA,PostNeutral,nrem,rem,nrem to rem,0.1373346897253306
2,Ca_EEG3-4,0.25mA,PostNeutral,nrem,wake,nrem to wake,0.12553407934893185
3,Ca_EEG3-4,0.25mA,PostNeutral,rem,nrem,rem to nrem,0.4823232323232323
4,Ca_EEG3-4,0.25mA,PostNeutral,rem,rem,rem to rem,0.4318181818181818
5,Ca_EEG3-4,0.25mA,PostNeutral,rem,wake,rem to wake,0.08585858585858586
6,Ca_EEG3-4,0.25mA,PostNeutral,wake,nrem,wake to nrem,0.08719379092893524
7,Ca_EEG3-4,0.25mA,PostNeutral,wake,rem,wake to rem,0.0
8,Ca_EEG3-4,0.25mA,PostNeutral,wake,wake,wake to wake,0.9128062090710648
0,Ca_EEG3-4,0.25mA,PostAversive,nrem,nrem,nrem to nrem,0.7752789989854583
1,Ca_EEG3-4,0.25mA,PostAversive,nrem,rem,nrem to rem,0.1384849509638147
2,Ca_EEG3-4,0.25mA,PostAversive,nrem,wake,nrem to wake,0.08623605005072708
3,Ca_EEG3-4,0.25mA,PostAversive,rem,nrem,rem to nrem,0.5038924274593064
4,Ca_EEG3-4,0.25mA,PostAversive,rem,rem,rem to rem,0.42038216560509556
5,Ca_EEG3-4,0.25mA,PostAversive,rem,wake,rem to wake,0.07572540693559802
6,Ca_EEG3-4,0.25mA,PostAversive,wake,nrem,wake to nrem,0.08899466320496177
7,Ca_EEG3-4,0.25mA,PostAversive,wake,rem,wake to rem,0.0
8,Ca_EEG3-4,0.25mA,PostAversive,wake,wake,wake to wake,0.9110053367950383
