,Mouse,Amplitude,TimeBin,Motion
355,RLI5-4,1.5mA,17,1.9710235840778856
356,RLI5-5,0.25mA,17,1.031628095902533
357,RLI5-6,1.5mA,17,1.7254709818758778
358,RLI5-7,0.25mA,17,3.0451603436703802
359,RLI5-8,1.5mA,17,0.5526132264765606
360,RLI5-9,0.25mA,17,1.736924664313873
361,RLI5-10,1.5mA,17,1.0149083773438516
362,RLI6-1,0.25mA,17,1.995633498571826
363,RLI6-2,1.5mA,17,1.5307959170871694
364,RLI6-3,0.25mA,17,1.2538841263437839
365,RLI6-4,1.5mA,17,2.372201664611895
366,RLI6-6,1.5mA,17,2.4961869053996426
367,RLI6-8,0.25mA,17,3.0544014277220963
368,RLI6-9,1.5mA,17,2.72385587821134
369,RLI6-10,0.25mA,17,3.2623958254155228
370,RLI6-11,1.5mA,17,2.0101206473836655
371,RLI6-12,0.25mA,17,2.724028145755243
372,RLI8-3,1.5mA,17,0.6878036821204465
373,RLI8-6,1.5mA,17,1.767159758203259
374,RLI5-1,0.25mA,18,1.258034303741711
375,RLI5-2,1.5mA,18,2.2511382589889433
376,RLI5-3,0.25mA,18,2.1644982053003146
377,RLI5-4,1.5mA,18,2.003630661343838
378,RLI5-5,0.25mA,18,1.704237169679206
379,RLI5-6,1.5mA,18,2.336410388599622
380,RLI5-7,0.25mA,18,2.2969184012419013
381,RLI5-8,1.5mA,18,0.9729587427701284
382,RLI5-9,0.25mA,18,1.041928491299243
383,RLI5-10,1.5mA,18,1.2127472166709101
384,RLI6-1,0.25mA,18,2.1590587361678444
385,RLI6-2,1.5mA,18,2.5496675195467873
386,RLI6-3,0.25mA,18,0.6250190413897494
387,RLI6-4,1.5mA,18,2.5696671854703754
388,RLI6-6,1.5mA,18,2.145923278243839
389,RLI6-8,0.25mA,18,1.9085573186890636
390,RLI6-9,1.5mA,18,2.3838374263886877
391,RLI6-10,0.25mA,18,2.3291845146177774
392,RLI6-11,1.5mA,18,1.9580935394734655
393,RLI6-12,0.25mA,18,3.453305572576236
394,RLI8-3,1.5mA,18,1.951898323436643
395,RLI8-6,1.5mA,18,1.1134119416798391
396,RLI5-1,0.25mA,19,0.8522369862937214
397,RLI5-2,1.5mA,19,1.3742621519106712
398,RLI5-3,0.25mA,19,1.785742355075321
399,RLI5-4,1.5mA,19,2.1254111848988035
400,RLI5-5,0.25mA,19,1.3139998579894405
401,RLI5-6,1.5mA,19,1.534821319247181
402,RLI5-7,0.25mA,19,2.3859362102929604
403,RLI5-8,1.5mA,19,1.5816264641165232
404,RLI5-9,0.25mA,19,1.9282328123495398
405,RLI5-10,1.5mA,19,1.7272029886219287
406,RLI6-1,0.25mA,19,2.521148878670268
407,RLI6-2,1.5mA,19,1.817513916907555
408,RLI6-3,0.25mA,19,1.1856700336348056
409,RLI6-4,1.5mA,19,1.924339782458022
410,RLI6-6,1.5mA,19,1.278716291680162
411,RLI6-8,0.25mA,19,2.1810573696839985
