,Mouse,Amplitude,BehavioralState,Ensemble,FiringRate,CellIndex
7269,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.06332100445501856,3883.0
7270,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.027955483739740584,3884.0
7271,RLI9-6,1.5mA,Quiet Rest,Fear,-0.050143221511289415,3885.0
7272,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.009510614258814058,3886.0
7273,RLI9-6,1.5mA,Quiet Rest,Fear,0.13474323130104976,3887.0
7274,RLI9-6,1.5mA,Quiet Rest,Fear,-0.04002391322755935,3888.0
7275,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.058567109307532825,3889.0
7276,RLI9-6,1.5mA,Quiet Rest,Remaining,0.006726531123382739,3890.0
7277,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.024787688251867685,3891.0
7278,RLI9-6,1.5mA,Quiet Rest,Fear,-0.00013382045014069072,3892.0
7279,RLI9-6,1.5mA,Quiet Rest,Fear,0.021013735688155018,3893.0
7280,RLI9-6,1.5mA,Quiet Rest,Remaining,0.02933227667532236,3894.0
7281,RLI9-6,1.5mA,Quiet Rest,Remaining,0.021825170973712615,3895.0
7282,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.06426469452845,3896.0
7283,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.0629469646142888,3897.0
7284,RLI9-6,1.5mA,Quiet Rest,Remaining,0.12889615242661948,3898.0
7285,RLI9-6,1.5mA,Quiet Rest,Fear,0.08458217063387155,3899.0
7286,RLI9-6,1.5mA,Quiet Rest,Fear,0.3371805594996894,3900.0
7287,RLI9-6,1.5mA,Quiet Rest,Fear,0.03380229706283203,3901.0
7288,RLI9-6,1.5mA,Quiet Rest,Fear,0.14732888722170465,3902.0
7289,RLI9-6,1.5mA,Quiet Rest,Remaining,0.11947756281673136,3903.0
7290,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.014869540132131015,3904.0
7291,RLI9-6,1.5mA,Quiet Rest,Fear,0.051341397966022766,3905.0
7292,RLI9-6,1.5mA,Quiet Rest,Remaining,0.0924231416193319,3906.0
7293,RLI9-6,1.5mA,Quiet Rest,Remaining,0.16358022634216915,3907.0
7294,RLI9-6,1.5mA,Quiet Rest,Fear,0.48705909524876656,3908.0
7295,RLI9-6,1.5mA,Quiet Rest,Remaining,0.01883373564582555,3909.0
7296,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.00014462265761441988,3910.0
7297,RLI9-6,1.5mA,Quiet Rest,Fear,0.05423413441844358,3911.0
7298,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.05213988859913158,3912.0
7299,RLI9-6,1.5mA,Quiet Rest,Fear,0.00030268376657839174,3913.0
7300,RLI9-6,1.5mA,Quiet Rest,Remaining,0.11530289122242308,3914.0
7301,RLI9-6,1.5mA,Quiet Rest,Fear,0.09502670429661307,3915.0
7302,RLI9-6,1.5mA,Quiet Rest,Fear,0.15350634143619335,3916.0
7303,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.06350256740855764,3917.0
7304,RLI9-6,1.5mA,Quiet Rest,Remaining,0.03114064814350889,3918.0
