,Mouse,Amplitude,TimeBin,Motion
353,RLI9-2,1.5mA,45,1.916562087714075
354,RLI9-3,1.5mA,45,1.157705436036783
355,RLI9-4,1.5mA,45,1.8656646253420874
356,RLI9-5,1.5mA,45,2.0014262885224468
357,RLI9-6,1.5mA,45,2.3334869923444197
358,RLI9-7,1.5mA,45,2.5510807570297565
359,RLI9-8,1.5mA,45,2.6723367917533793
360,RLI9-1,1.5mA,46,2.955685589515824
361,RLI9-2,1.5mA,46,2.0803631005506107
362,RLI9-3,1.5mA,46,0.815045933053273
363,RLI9-4,1.5mA,46,2.562499186438589
364,RLI9-5,1.5mA,46,2.212722689181089
365,RLI9-6,1.5mA,46,2.5654189263503775
366,RLI9-7,1.5mA,46,2.6539689516229217
367,RLI9-8,1.5mA,46,2.4521908886367454
368,RLI9-1,1.5mA,47,2.870710901344304
369,RLI9-2,1.5mA,47,1.584238808842496
370,RLI9-3,1.5mA,47,1.242126457023364
371,RLI9-4,1.5mA,47,1.5177557586739405
372,RLI9-5,1.5mA,47,2.1937298164686587
373,RLI9-6,1.5mA,47,2.6424756833268006
374,RLI9-7,1.5mA,47,2.4722913270034126
375,RLI9-8,1.5mA,47,2.3212339846262617
376,RLI9-1,1.5mA,48,2.802884958317803
377,RLI9-2,1.5mA,48,2.72537214929652
378,RLI9-3,1.5mA,48,2.3881608308963873
379,RLI9-4,1.5mA,48,1.0282696499165629
380,RLI9-5,1.5mA,48,1.5743806502676483
381,RLI9-6,1.5mA,48,2.7892681659221257
382,RLI9-7,1.5mA,48,2.315889437521742
383,RLI9-8,1.5mA,48,1.378055178619171
384,RLI9-1,1.5mA,49,2.8330683807160257
385,RLI9-2,1.5mA,49,2.275568055653075
386,RLI9-3,1.5mA,49,2.5698788951881113
387,RLI9-4,1.5mA,49,0.9626383187218674
388,RLI9-5,1.5mA,49,0.8726202328672701
389,RLI9-6,1.5mA,49,3.0103235635264296
390,RLI9-7,1.5mA,49,0.6588511479424913
391,RLI9-8,1.5mA,49,1.3080549598794173
392,RLI9-1,1.5mA,50,2.457092458960871
393,RLI9-2,1.5mA,50,2.6728959941339028
394,RLI9-3,1.5mA,50,2.263109548456024
395,RLI9-4,1.5mA,50,1.2428791144953693
396,RLI9-5,1.5mA,50,2.1058158262189592
397,RLI9-6,1.5mA,50,3.239496368662809
398,RLI9-7,1.5mA,50,2.678601559008889
399,RLI9-8,1.5mA,50,1.4965190642716781
400,RLI9-1,1.5mA,51,1.6297751330824792
401,RLI9-2,1.5mA,51,2.1558475752746413
402,RLI9-3,1.5mA,51,2.106923877847604
403,RLI9-4,1.5mA,51,0.7265454584053048
404,RLI9-5,1.5mA,51,2.3836206138307716
405,RLI9-6,1.5mA,51,2.6216624581048977
406,RLI9-7,1.5mA,51,0.7091229997295155
407,RLI9-8,1.5mA,51,2.61426821886538
408,RLI9-1,1.5mA,52,2.9194447686710516
409,RLI9-2,1.5mA,52,2.2390389022803676
410,RLI9-3,1.5mA,52,1.8427200896744123
411,RLI9-4,1.5mA,52,0.5340440660815842
412,RLI9-5,1.5mA,52,1.794977650656143
413,RLI9-6,1.5mA,52,1.805344006801204
414,RLI9-7,1.5mA,52,1.8812293716086532
415,RLI9-8,1.5mA,52,1.8647895689845244
416,RLI9-1,1.5mA,53,2.6681167570832467
