,Mouse,CutoffFraction,Ensemble,FractionOfEnsembleCells
3,RLI12-2,98,Remaining,0.9714285714285714
0,RLI12-2,100,Aversive,1.0
1,RLI12-2,100,Overlap,1.0
2,RLI12-2,100,Neutral,1.0
3,RLI12-2,100,Remaining,1.0
0,RLI12-3,2,Aversive,0.024
1,RLI12-3,2,Overlap,0.05128205128205128
2,RLI12-3,2,Neutral,0.03361344537815126
3,RLI12-3,2,Remaining,0.004801920768307323
0,RLI12-3,4,Aversive,0.048
1,RLI12-3,4,Overlap,0.10256410256410256
2,RLI12-3,4,Neutral,0.0546218487394958
3,RLI12-3,4,Remaining,0.013205282112845138
0,RLI12-3,6,Aversive,0.08
1,RLI12-3,6,Overlap,0.1282051282051282
2,RLI12-3,6,Neutral,0.09243697478991597
3,RLI12-3,6,Remaining,0.025210084033613446
0,RLI12-3,8,Aversive,0.096
1,RLI12-3,8,Overlap,0.17582417582417584
2,RLI12-3,8,Neutral,0.12184873949579832
3,RLI12-3,8,Remaining,0.03361344537815126
0,RLI12-3,10,Aversive,0.144
1,RLI12-3,10,Overlap,0.20512820512820512
2,RLI12-3,10,Neutral,0.16806722689075632
3,RLI12-3,10,Remaining,0.03841536614645858
0,RLI12-3,12,Aversive,0.152
1,RLI12-3,12,Overlap,0.2564102564102564
2,RLI12-3,12,Neutral,0.21428571428571427
3,RLI12-3,12,Remaining,0.04321728691476591
0,RLI12-3,14,Aversive,0.208
1,RLI12-3,14,Overlap,0.2783882783882784
2,RLI12-3,14,Neutral,0.22268907563025211
3,RLI12-3,14,Remaining,0.060024009603841535
0,RLI12-3,16,Aversive,0.232
1,RLI12-3,16,Overlap,0.315018315018315
2,RLI12-3,16,Neutral,0.2689075630252101
3,RLI12-3,16,Remaining,0.06722689075630252
0,RLI12-3,18,Aversive,0.232
1,RLI12-3,18,Overlap,0.34798534798534797
2,RLI12-3,18,Neutral,0.2857142857142857
3,RLI12-3,18,Remaining,0.08643457382953182
0,RLI12-3,20,Aversive,0.296
1,RLI12-3,20,Overlap,0.38461538461538464
2,RLI12-3,20,Neutral,0.29831932773109243
3,RLI12-3,20,Remaining,0.09603841536614646
0,RLI12-3,22,Aversive,0.296
1,RLI12-3,22,Overlap,0.3992673992673993
2,RLI12-3,22,Neutral,0.36134453781512604
3,RLI12-3,22,Remaining,0.1092436974789916
0,RLI12-3,24,Aversive,0.304
1,RLI12-3,24,Overlap,0.3992673992673993
2,RLI12-3,24,Neutral,0.3739495798319328
3,RLI12-3,24,Remaining,0.13925570228091236
0,RLI12-3,26,Aversive,0.392
1,RLI12-3,26,Overlap,0.4652014652014652
2,RLI12-3,26,Neutral,0.3739495798319328
3,RLI12-3,26,Remaining,0.13925570228091236
0,RLI12-3,28,Aversive,0.416
1,RLI12-3,28,Overlap,0.5531135531135531
2,RLI12-3,28,Neutral,0.3739495798319328
3,RLI12-3,28,Remaining,0.14285714285714285
0,RLI12-3,30,Aversive,0.416
1,RLI12-3,30,Overlap,0.5531135531135531
2,RLI12-3,30,Neutral,0.3739495798319328
3,RLI12-3,30,Remaining,0.17767106842737096
0,RLI12-3,32,Aversive,0.416
1,RLI12-3,32,Overlap,0.5531135531135531
2,RLI12-3,32,Neutral,0.3739495798319328
3,RLI12-3,32,Remaining,0.21368547418967587
0,RLI12-3,34,Aversive,0.416
1,RLI12-3,34,Overlap,0.5531135531135531
2,RLI12-3,34,Neutral,0.3739495798319328
3,RLI12-3,34,Remaining,0.24849939975990396
0,RLI12-3,36,Aversive,0.416
1,RLI12-3,36,Overlap,0.5531135531135531
2,RLI12-3,36,Neutral,0.3739495798319328
