,Mouse,CutoffFraction,Ensemble,FractionOfGadCells
0,RLI12-2,24,Aversive,0.10511363636363637
1,RLI12-2,24,Overlap,0.4090909090909091
2,RLI12-2,24,Neutral,0.07954545454545454
3,RLI12-2,24,Remaining,0.40625
0,RLI12-2,26,Aversive,0.09973753280839895
1,RLI12-2,26,Overlap,0.3779527559055118
2,RLI12-2,26,Neutral,0.07349081364829396
3,RLI12-2,26,Remaining,0.44881889763779526
0,RLI12-2,28,Aversive,0.09268292682926829
1,RLI12-2,28,Overlap,0.35121951219512193
2,RLI12-2,28,Neutral,0.06829268292682927
3,RLI12-2,28,Remaining,0.4878048780487805
0,RLI12-2,30,Aversive,0.08636363636363636
1,RLI12-2,30,Overlap,0.32727272727272727
2,RLI12-2,30,Neutral,0.06363636363636363
3,RLI12-2,30,Remaining,0.5227272727272727
0,RLI12-2,32,Aversive,0.08102345415778252
1,RLI12-2,32,Overlap,0.3070362473347548
2,RLI12-2,32,Neutral,0.05970149253731343
3,RLI12-2,32,Remaining,0.5522388059701493
0,RLI12-2,34,Aversive,0.07630522088353414
1,RLI12-2,34,Overlap,0.2891566265060241
2,RLI12-2,34,Neutral,0.05622489959839357
3,RLI12-2,34,Remaining,0.5783132530120482
0,RLI12-2,36,Aversive,0.07196969696969698
1,RLI12-2,36,Overlap,0.2727272727272727
2,RLI12-2,36,Neutral,0.05303030303030303
3,RLI12-2,36,Remaining,0.6022727272727273
0,RLI12-2,38,Aversive,0.06822262118491922
1,RLI12-2,38,Overlap,0.2585278276481149
2,RLI12-2,38,Neutral,0.05026929982046679
3,RLI12-2,38,Remaining,0.6229802513464991
0,RLI12-2,40,Aversive,0.06484641638225255
1,RLI12-2,40,Overlap,0.24573378839590443
2,RLI12-2,40,Neutral,0.04778156996587031
3,RLI12-2,40,Remaining,0.6416382252559727
0,RLI12-2,42,Aversive,0.06168831168831169
1,RLI12-2,42,Overlap,0.23376623376623376
2,RLI12-2,42,Neutral,0.045454545454545456
3,RLI12-2,42,Remaining,0.6590909090909091
0,RLI12-2,44,Aversive,0.05891472868217054
1,RLI12-2,44,Overlap,0.22325581395348837
2,RLI12-2,44,Neutral,0.043410852713178294
3,RLI12-2,44,Remaining,0.6744186046511628
0,RLI12-2,46,Aversive,0.05637982195845697
1,RLI12-2,46,Overlap,0.21364985163204747
2,RLI12-2,46,Neutral,0.04154302670623145
3,RLI12-2,46,Remaining,0.6884272997032641
0,RLI12-2,48,Aversive,0.05397727272727273
1,RLI12-2,48,Overlap,0.20454545454545456
2,RLI12-2,48,Neutral,0.03977272727272727
3,RLI12-2,48,Remaining,0.7017045454545454
0,RLI12-2,50,Aversive,0.05184174624829468
1,RLI12-2,50,Overlap,0.19645293315143247
2,RLI12-2,50,Neutral,0.03819918144611187
3,RLI12-2,50,Remaining,0.713506139154161
0,RLI12-2,52,Aversive,0.049868766404199474
1,RLI12-2,52,Overlap,0.1889763779527559
2,RLI12-2,52,Neutral,0.03674540682414698
3,RLI12-2,52,Remaining,0.7244094488188977
0,RLI12-2,54,Aversive,0.047979797979797977
1,RLI12-2,54,Overlap,0.18181818181818182
2,RLI12-2,54,Neutral,0.03535353535353535
3,RLI12-2,54,Remaining,0.7348484848484849
0,RLI12-2,56,Aversive,0.04628501827040195
1,RLI12-2,56,Overlap,0.1753958587088916
2,RLI12-2,56,Neutral,0.0341047503045067
3,RLI12-2,56,Remaining,0.7442143727161997
